book_id,title,author,genre,language,summary,complexity_score
5001,Laiqa: Nomik Hijab for Sisters 3: Setop Ngomongin Rain!,Anastasha Hardi,Fiction|Agama,id,"Hidup Rain yang serbamewah—punya subscriber puluhan ribu di akun YouTube-nya, jutaan viewers untuk acara bertajuk, “Hamba Sahaya Rain”—harus berakhir pada sebuah malam tragis. Suri, salah satu peserta challenge, ditemukan dalam keadaan nyaris meninggal. Setelah kejadian itu, Rain dikeluarkan dari sekolah. Tidak hanya itu, orangtua Suri menuntut Rain pindah ke sebuah pesantren tradisional di Cirebon untuk mendapatkan pendidikan moral. Dalam satu malam, hidup Rain berubah total. Dia melewati berbagai kegiatan yang tak pernah dilakukannya untuk pertama kali. Tinggal di sebuah kamar berisi empat teman dengan latar belakang menyedihkan, tidur tanpa alas yang layak, menjalani hari tanpa ponsel, mencuci pakaian sendiri berikut menimba air dari sumur, lalu makan dengan menu seadanya. Akankah Rain bertahan, kemudian berubah menjadi pribadi yang lebih baik setelah mondok di sana?",
5002,30 Juz,Romee,Fiction|Agama,id,"""Jangan terlalu mencintai makhluk sampai lupa siapa penciptanya. Jangan heran jika suatu saat Allah timpakan rasa sakit, karena sejatinya Tuhan kita sangatlah pencemburu...."" -Hanindia Fara- Nabi Adam pernah LDR (long distance relationship) dengan Hawa selama ratusan tahun.karena sebuah kesalahan dan akhirnya Allah persatukan kembali di Jabal Rahmah, Lalu, ada cinta beda usia antara Zulaikha-yang memendam perasaan kepada Nabi Yusuf dan kemudian Allah pertemukan kembali saat Zulaikha ditinggal wafat oleh suaminya dan ia menjadi pribadi yang lebih baik. Tak kalah menarik, kisah Ali bin Abi Thalib dengan anak Rasulullah Saw.. Fatimah, melalui persyaratan mahar yang luar biasa. Dari sini lah banyak melahirkan kisah romansa Islam, salah satunya kisah Raden Zayyan dan Hanindia Fara dalam 30 Juz. Zayyan tak pernah menyangka akan jatuh cinta dengan seorang gadis baik bernama Hanindia Fara. Perasaan itu pun mendorongnya untuk segera melamar Fara. Namun dengan syarat, Zayyan diminta menghafal 30 juz Al-Qur'an. ""Al-Kafirun aja gue masih sering bolak-balik ayat yang sama, gimana harus hafal sebanyak 30 JUZ? Bisa-bisa gue jadi perjaka tua karena nggak berhasil hafal!"" ucapnya dalam hati. Maklum, dirinya lebih banyak bersentuhan dengan modernisasi ketika $2 di luar negeri serta klub motor kesukaannya. Namun, bukan Zayyan jika dia dengan cepat menyerah. Title-nya sebagai ketika klub motor terkenal bernama Stargazer membuatnya senang dengan tantangan tersebut: Apa pun akan dirinya lakukan demi mencapai apa yang diinginkannya, termasuk menghafal 30 juz. Sayangnya, Zayyan terlalu larut dalam mengejar Fara tanpa melibatkan Sang Mahakuasa sehingga Allah uji dirinya untuk bersanding dengan Fara. Apakah. Zayyan dapat melewati ujian tersebut atau justru menyerah dengan keadaaan? Dan, apakah anggota klub motornya dapat dia ajak menjadi lebih baik?",
5003,The Glory Story of Two Umars,Fuad Abdurahman,Fiction|Agama,id,"Di dunia yang kerap tidak menentu seperti sekarang, hadirnya pemimpin yang mampu menciptakan keadilan dan membawa kesejahteraan tentu menjadi dambaan. Sayangnya, di era saat ini sosok pemimpin yang demikian amat langka dan sulit ditemukan. Buku ini menghadirkan inspirasi kepemimpinan melalui kisah hidup dua pemimpin besar penjaga keadilan dan kebijaksanaan: Umar bin Khattab dan Umar bin Abdul Aziz. Dua sosok ini bukan sekadar pemimpin yang cakap dalam mengelola negara, melainkan teladan hidup bagi semua yang berada di bawah naungan kepemimpinan mereka. Fuad Abdurrahman mengajak pembaca untuk menyelami perjalanan kepemimpinan kedua lelaki mulia ini. Di tangan mereka, keadilan bukan hanya sebuah konsep, tetapi menjadi napas dalam setiap kebijakan yang diambil. Umat Islam hidup dalam kedamaian dan ketentraman, membawa harapan baru dan semangat untuk mengikuti jejak mereka berdua. Melalui penggambaran yang hidup dan penuh inspirasi, buku ini mempersembahkan pelajaran berharga dari kisah kepemimpinan Umar bin Khattab dan Umar bin Abdul Aziz yang sangat relevan kita teladani hari ini. Selamat membaca!",
5004,Percayalah Ada Harapan untuk Kita,Natta Reza & Wardah Maulina,Fiction|Agama,id,"Hadiah terindah di hidup kami, ZAKIA. Putri kecil yang sudah lama kami rindukan, bahkan sebelum tubuh mungilnya dapat kami peluk dengan hangat. Air mata kebahagiaan mengalir saat melihat wajahmu untuk pertama kalinya. Hati ini bergetar, “Kami ingin selalu ada untukmu, Nak. Ya Allah, beri kami kesehatan dan kemampuan agar dapat selalu mendampingi buah hati kami.” Buah hatiku, tumbuhlah menjadi perempuan saleha, cerdas seperti Aisyah dan tangguh seperti Khadijah. Ingatlah selalu Allah SWT dalam setiap langkahmu. Ingatlah bahwa orangtuamu ini mencintaimu tanpa batas. Satu pesan dari kami bagi pembaca dan pejuang garis dua, “Percayalah, selalu ada harapan untuk kita. Bahwa Dia akan selalu memberikan yang terbaik bagi hamba-Nya. Teruslah meminta pada-Nya dan berusaha.”",
5005,"Laiqa: Hijab for Sisters: Dia Ibu yang Harus Dihormati, Fayla!",NURILLAH ACHMAD,Fiction|Agama,id,"Sebagai remaja yang hendak mempelajari ilmu agama, hidup Fayla sudah ideal; tinggal di pesantren dan belajar di sekolah yang diimpikan, punya banyak teman yang baik dan loyal, serta orangtua yang menyayanginya tanpa kurang. Hingga suatu hari videonya saat berdebat keras dengan seorang ustazah, diviralkan orangtua santri yang berkunjung. Membuatnya dipandang sebagai santri bermasalah sekaligus anak kurang ajar. Hinaan dan cercaan yang diterima tidak sebanding dengan satu fakta yang dibawa salah seorang kerabat, membuat hidup ideal Fayla seketika itu berantakan. Bahkan dia membenci ibunya yang selama ini menyembunyikan kenyataan mengenai asal-usulnya. Lantas, apa lagi yang perlu dipertahankan dalam hidup Fayla setelah semua berbalik dari harapan idealnya?",
5006,Orang Tak Dikenal Di Sekoci (The Stranger In The Lifeboat),Mitch Albom,Fiction|Agama,id,"Apa yang akan terjadi apabila kita berseru memohon pertolongan Tuhan dan Tuhan benar-benar muncul? Sembilan penumpang berhasil selamat dari kapal pesiar Galaxy yang meledak lalu tenggelam. Di sebuah sekoci mereka terkatung-katung dan berjuang bertahan hidup. Sementara air minum, makanan, dan harapan semakin menyusut, di hari keempat mereka menemukan seorang laki-laki terapung-apung di tengah ombak dan menariknya ke sekoci. Orang itu mengaku sebagai “Tuhan”. Dan dia akan dapat menyelamatkan mereka jika mereka semua memercayainya. Mitch Albom telah menulis tentang surga dalam The Five People You Meet in Heaven (Meniti Bianglala), The First Phone Call from Heaven (Telepon Pertama dari Surga), dan The Next Person You Meet in Heaven (Orang Berikut yang Kaujumpai di Surga). Kini, untuk pertama kali dalam novelnya dia merenungkan, apa yang akan kita lakukan jika, sesudah kita memohon-mohon pertolongan-Nya, Tuhan benar-benar muncul di hadapan kita?",
5007,Laiqa: Kresek Hitam,Honey Dee,Fiction|Agama,id,"Maera pikir, masuk asrama rehabilitasi merupakan hukuman terbaik atas penebusan dosa-dosa masa lalunya. Ternyata, hukuman yang sesungguhnya didapat setelah dia keluar dari sana. Dia kehilangan saudara dan teman, di-DO dari kampus, dan yang jauh lebih buruk, tak lagi dipercaya kedua orangtuanya. Ketika Maera berusaha menata ulang kehidupannya, orang-orang yang dia harap bisa menolong malah berbalik menghancurkannya. Apakah beban yang terlampau berat ini mampu dihadapi Maera di usianya yang baru sembilan belas? Haruskah hidupnya berakhir bagaikan kresek hitam yang akan disingkirkan oleh keluarganya? Prolog: AKU BERDIRI SAJA di tengah halaman luas itu, melihat teman-temanku pulang satu per satu sampai hanya tinggal aku sendiri. Sudah satu jam sejak orang terakhir pergi dan kakiku sudah keram, tapi aku tetap bertahan. Kugoyangkan tubuh untuk mengusir sedikit pegal, ke depan bertumpu pada ujung jari, ke belakang bertumpu pada tumit. Lumayan, kok. Bergoyang seperti ini bisa meredakan bosan asal seimbang agar tidak tersungkur. Itu bisa mempermalukan diri sendiri. Sebenarnya aku sudah terlalu banyak mempermalukan diri sendiri. Sepertinya, aku bisa menjadi ratu tukang mempermalukan diri sendiri. Berkali-kali aku melakukannya dengan sukses dan kali ini yang paling berhasil sampai aku jadi satu-satunya dalam keluarga yang masuk pusat rehabilitasi narkoba.",
5008,Ziarah (Pilgrimage),Paulo Coelho,Fiction|Agama,id,"The Pilgrimage membuka jalan bagi Sang Alkemis karya Paulo Coelho untuk menjadi novel terlaris di tingkat internasional. Dalam banyak hal, kedua buku ini tak terpisahkan dan perlu dibaca kedua-duanya untuk memahaminya secara utuh. Dalam buku ini kita diajak mengikuti perjalanan ziarah Coelho sepanjang jalan menuju Santiago. Parabel ini menjajaki kebutuhan manusia untuk menemukan jalannya sendiri. Pada akhirnya kita mendapati bahwa segala sesuatu yang luar biasa selalu ditemukan dalam hal-hal sederhana, melalui orang orang yang kita jumpai sehari-hari. Kisah yang memikat ini berisi petualangan sekaligus tuntunan untuk menemukan jati diri dan pencerahan.",
5009,Goodbye Daneil,Erisca Febriani,Fiction|Agama,id,"Hal terberat dari kehilangan bukanlah perasaan ditinggalkan, melainkan berusaha menjalani kehidupan dengan sisa kenangan yang masih tersimpan di ingatan. Seandainya Nathan tahu waktu memang sesingkat itu, dia akan membuat lebih banyak kenangan dengan Daniel. Nathan tidak akan marah jika hanya segelas susu cokelat yang terhidang di atas meja makan. Dia tidak akan kesal jika Daniel mengganti acara televisi dengan tayangan kuis interaktif. Dia akan memilih mengalah membiarkan Daniel berada di posisi paling utama untuk menyambut kepulangan Papa dari kantor. Dia akan membiarkan Daniel meminjam seluruh kaos distro kesayangannya, bahkan tanpa harus meminta izin. Dia akan mengalah kalau Daniel mengambil kulit ayamnya yang sengaja disisakan untuk dimakan terakhir. Dia juga rela mendengar teriakan Daniel mengganggu tidur siangnya, karena kini dia tidak bisa melakukan itu lagi. Daniel pergi meninggalkan kamarnya yang rapi. Handuk yang masih di jemuran. Tuts piano yang tidak pernah lagi berbunyi. Kolor biru yang setia tergantung di belakang piano, menunggu diambil oleh sang empunya. Buku ini merupakan prekuel sekaligus spin-off dari novel Dear Nathan. Berkisah tentang rasa kehilangan yang dialami Nathan karena kepergian Daniel. Kini, hidupnya semakin hampa dan dipenuhi kata “seandainya”. Kepergian Daniel menyisakan luka yang mendalam bagi Nathan. Kenangan mereka berdua selalu mengisi pikirannya. Ditambah lagi orang tuanya yang pilih kasih terhadap Nathan dan membuatnya semakin merasa kesepian.",
5010,Tekad,Azmi Askandar & Wahyudi Pratama,Fiction|Agama,id,"Semua berawal dari hobiku melantunkan ayat-ayat Allah, berselawat kepada Baginda Rasulullah, hingga bergabung dalam kelompok peselawat tersohor seantero tanah jawa. Baik aku ataupun keluarga, tak ada yang pernah menyangka kehadiranku sebagai santri milenial yang cinta selawat bisa menarik perhatian banyak umat. Niatku sangat sederhana ketika mulai tertarik untuk lebih mendalami dunia selawatan; ingin mendekatkan diri dengan para ulama, serta jiwa dan raga tercium wangi syurga. Namun seiring berjalannya waktu, aku semakin teguh pendirian dalam menekuni jalan dakwah yang kupilih, berdiri kokoh di atas kehendak hati, bukan atas kehendak orang lain; sebuah tekad bulat untuk berdakwah di jalan Allah sampai akhir hayat. ""Aku bukan siapa-siapa. Hanya manusia biasa, yang memuja nama Allah dan mencintai Baginda Rasulullah. Jika ibadahku belum sempurna, paling tidak jalan dakwah yang kutempuh bisa bermanfaat bagi seluruh umat."" Azmi Askandar Gus Azmi atau Muhammad Ulul Azmi Askandar al-Abshor, lahir di Probolinggo pada 23 April 2004. Dia merupakan vokalis dalam grup sholawat Syubbanul Muslimin dari Pondok Pesantren Nurul Qodim Kalikajar Probolinggo. Pada zaman sekarang, generasi milenial merupakan generasi yang paling disorot. Dalam bidang musik, salah satu yang mendapat perhatian adalah Gus Azmi. Azmi mendapat banyak perhatian karena mengusung aliran musik unsur religi islami dengan nama hadroh Syubban. Dalam menyanyikan lagu, Gus Azmi seringkali mendapat pujian lantaran suara merdu dan apiknya dalam membawakan lagu.",
